id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
12351398,Rowlet #43,Pokemon Promo,1299,Ungraded,Normal wear,,,0,1,2026-03-30,,,,
6775695,Cramorant #176,Pokemon Twilight Masquerade,330,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031710,Pansage #89,Pokemon Black Bolt,896,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10026810,Bouffalant ex #162,Pokemon White Flare,100,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10111991,Victini #208,Pokemon Promo,1230,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031730,Karrablast #94,Pokemon Black Bolt,847,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031737,Zekrom ex #158,Pokemon Black Bolt,493,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
807059,Cramorant V #155,Pokemon Sword & Shield,93,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031723,Lilligant #92,Pokemon Black Bolt,2695,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
8871343,Iono's Bellibolt ex #188,Pokemon Journey Together,1299,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
7800228,Castform Sunny Form #195,Pokemon Surging Sparks,599,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
7800283,Gravity Mountain #250,Pokemon Surging Sparks,1050,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
12351397,Piplup #42,Pokemon Promo,1500,Ungraded,Normal wear,,,0,1,2026-04-03,,,,
10031749,Fennel #162,Pokemon Black Bolt,147,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031717,Cinccino #153,Pokemon Black Bolt,1060,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031739,Meloetta ex #159,Pokemon Black Bolt,297,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
8883280,Hop's Wooloo #170,Pokemon Journey Together,365,Ungraded,Normal wear,,,0,1,2026-03-22,,,,
10031668,Sandile #135,Pokemon Black Bolt,807,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10332663,Pikachu [Holiday Calendar] #25,Pokemon Scarlet & Violet 151,589,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10332661,Vanillish [Holiday Calendar] #190,Pokemon Paradox Rift,376,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
2618181,Zekrom #114,Pokemon Celebrations,1797,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026742,Joltik #116,Pokemon White Flare,1899,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
2755745,Pikachu & Zekrom GX #SM248,Pokemon Promo,3002,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031747,N's Plan #163,Pokemon Black Bolt,422,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031603,Carracosta #107,Pokemon Black Bolt,778,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031676,Escavalier #138,Pokemon Black Bolt,1247,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
7800768,Magneton #159,Pokemon Promo,733,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026793,Watchog #153,Pokemon White Flare,606,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10616259,Lt. Surge's Bargain #170,Pokemon Mega Evolution,168,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031700,Haxorus #147,Pokemon Black Bolt,4408,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
1341532,Cramorant VMAX #55,Pokemon Shining Fates,165,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
12351395,Turtwig #40,Pokemon Promo,1061,Ungraded,Normal wear,,,0,1,2026-04-03,,,,
10031615,Tynamo #113,Pokemon Black Bolt,1360,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031656,Crustle #130,Pokemon Black Bolt,555,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10026804,Keldeo ex #159,Pokemon White Flare,244,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031741,Darmanitan #98,Pokemon Black Bolt,729,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031567,Simipour #102,Pokemon Black Bolt,700,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10616260,Mega Signal #171,Pokemon Mega Evolution,206,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
11068959,Toxtricity #103,Pokemon Phantasmal Flames,245,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
9432933,Team Rocket's Petrel #226,Pokemon Destined Rivals,946,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026769,Mienshao #134,Pokemon White Flare,674,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026730,Swanna #110,Pokemon White Flare,900,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026774,Scraggy #138,Pokemon White Flare,1300,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
6769632,Hyper Aroma #152,Pokemon Twilight Masquerade,76,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026776,Trubbish #140,Pokemon White Flare,912,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026802,Whimsicott ex #157,Pokemon White Flare,171,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
5923912,Booster Bundle,Pokemon Scarlet & Violet 151,17923,Ungraded,Normal wear,,,0,1,2026-04-03,2026-04-03,PSA,,
12351396,Chimchar #41,Pokemon Promo,1975,Ungraded,Normal wear,,,0,1,2026-04-03,,,,
10026812,Harlequin #163,Pokemon White Flare,204,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026806,Jellicent ex #160,Pokemon White Flare,212,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026791,Patrat #152,Pokemon White Flare,894,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026735,Simisear #100,Pokemon White Flare,878,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026783,Zweilous #147,Pokemon White Flare,797,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
7800271,Pikachu ex #238,Pokemon Surging Sparks,27798,Graded 9,Normal wear,,,0,1,2026-01-29,2026-01-28,PSA,,
10026721,Basculin #108,Pokemon White Flare,502,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031743,Larvesta #99,Pokemon Black Bolt,831,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10690127,Alakazam #9,Pokemon Promo,999,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10669969,Acerola's Mischief #183,Pokemon Mega Evolution,2900,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031702,Pidove #148,Pokemon Black Bolt,1479,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
11816189,Mega Gengar ex #269,Pokemon Ascended Heroes,7509,Ungraded,Normal wear,,,0,1,2026-03-22,,,,
10034561,Thundurus #209,Pokemon Promo,321,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031750,Serperior ex #164,Pokemon Black Bolt,3916,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
1656615,Cramorant V #SWSH086,Pokemon Promo,143,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
